iter	RMSE
0	91810.86056
1	88960.89682
2	86372.0258
3	83777.00493
4	81516.13574
5	79319.61512
6	77129.36833
7	74813.12775
8	72638.50225
9	70550.96891
10	68579.10837
11	66769.88533
12	64921.95696
13	63113.89115
14	61334.72521
15	59762.88157
16	58248.93362
17	56884.6883
18	55522.75661
19	54303.51402
20	53061.40839
21	51881.02134
22	50651.25612
23	49585.27205
24	48529.17571
25	47434.42393
26	46431.24919
27	45404.46811
28	44542.09384
29	43712.1831
30	42923.9744
31	42277.64894
32	41627.9637
33	40919.11735
34	40359.16202
35	39740.10144
36	39034.57379
37	38465.43872
38	37965.64056
39	37408.74802
40	36851.31268
41	36391.89218
42	35957.74596
43	35482.16206
44	35146.85375
45	34755.95587
46	34418.99469
47	34106.49709
48	33778.31018
49	33484.30499
50	33131.83115
51	32881.56567
52	32576.57781
53	32349.96485
54	32041.58719
55	31798.91711
56	31563.60175
57	31310.31564
58	31126.87934
59	30901.93993
60	30747.56225
61	30543.00753
62	30345.97215
63	30121.97874
64	29919.17719
65	29731.80227
66	29545.54611
67	29371.61712
68	29201.59114
69	29079.25106
70	28964.34324
71	28796.6541
72	28582.02376
73	28465.10437
74	28329.74399
75	28208.08489
76	28130.78864
77	27922.21274
78	27801.95888
79	27721.6443
80	27580.3034
81	27468.25262
82	27411.44098
83	27319.13374
84	27205.77807
85	27074.52349
86	26972.61684
87	26892.54233
88	26824.22283
89	26737.30371
90	26639.35885
91	26571.18576
92	26498.92431
93	26424.38886
94	26357.78082
95	26275.04713
96	26171.09145
97	26101.25909
98	26041.70652
99	26012.27575
100	25952.88654
101	25831.93866
102	25772.28462
103	25717.68753
104	25655.76096
105	25611.55937
106	25568.0035
107	25537.04362
108	25454.46868
109	25414.9273
110	25390.72648
111	25330.73647
112	25269.08496
113	25227.85153
114	25188.0866
115	25170.01787
116	25076.30467
117	25006.10732
118	24931.75431
119	24885.88472
120	24854.54658
121	24796.81831
122	24762.2548
123	24688.87525
124	24648.94108
125	24591.86261
126	24550.28781
127	24460.76805
128	24414.99624
129	24389.20473
130	24330.10609
131	24303.19022
132	24265.30591
133	24207.78601
134	24115.65536
135	24046.77466
136	23996.06672
137	23957.80721
138	23903.00866
139	23868.87869
140	23831.58112
141	23789.36376
142	23746.60098
143	23690.10424
144	23644.529
145	23585.2408
146	23530.3347
147	23479.64876
148	23440.88664
149	23380.48205
150	23362.1086
151	23300.93672
152	23244.11243
153	23188.56913
154	23131.16983
155	23088.44299
156	23057.20903
157	23018.79084
158	22981.46471
159	22961.71873
160	22929.96984
161	22888.29007
162	22850.63058
163	22818.16965
164	22798.13183
165	22759.60759
166	22746.68211
167	22697.04954
168	22660.71378
169	22600.62115
170	22576.07761
171	22537.40234
172	22494.79281
173	22465.8593
174	22412.4195
175	22379.96988
176	22353.00188
177	22315.60087
178	22293.31611
179	22268.00456
180	22229.50935
181	22188.72132
182	22157.70437
183	22135.48818
184	22113.85102
185	22083.05869
186	22061.27301
187	22033.41692
188	22012.65701
189	21983.77402
190	21961.21322
191	21919.86472
192	21894.64559
193	21844.07784
194	21811.1043
195	21803.14113
196	21766.16998
197	21733.61917
198	21697.34148
199	21687.59779
200	21658.43166
201	21623.30313
202	21611.22217
203	21538.96292
204	21518.15813
205	21490.2394
206	21456.48464
207	21413.0944
208	21374.51745
209	21338.90613
210	21326.77121
211	21285.5329
212	21258.25244
213	21234.7499
214	21192.42565
215	21177.92011
216	21127.70165
217	21098.26788
218	21078.13667
219	21051.70695
220	21018.16521
221	20986.18512
222	20942.54632
223	20924.15792
224	20870.44987
225	20859.21199
226	20787.55045
227	20763.64451
228	20745.94536
229	20726.27702
230	20706.30157
231	20661.16128
232	20643.13335
233	20625.03504
234	20578.76158
235	20531.69223
236	20502.62508
237	20478.36555
238	20448.74201
239	20427.13805
240	20413.65167
241	20402.0188
242	20375.53738
243	20342.24261
244	20320.68101
245	20305.01206
246	20292.47245
247	20274.6612
248	20264.40039
249	20227.23652
250	20200.85741
251	20185.81441
252	20156.62184
253	20119.00793
254	20105.46011
255	20077.95733
256	20059.06587
257	20036.72482
258	20008.70887
259	19983.93402
260	19960.30724
261	19937.2219
262	19909.56028
263	19884.80368
264	19846.14859
265	19825.10039
266	19813.40955
267	19788.36159
268	19764.56128
269	19745.17676
270	19696.10266
271	19668.5417
272	19650.60717
273	19628.26554
274	19594.5773
275	19578.23265
276	19549.07303
277	19486.72755
278	19451.53318
279	19436.53861
280	19397.31371
281	19382.71844
282	19368.34818
283	19350.10925
284	19298.93075
285	19285.4569
286	19265.05061
287	19247.99444
288	19237.11993
289	19215.12413
290	19186.21387
291	19158.73818
292	19145.17355
293	19113.83189
294	19092.51071
295	19067.2344
296	19049.6769
297	19011.66195
298	18996.94766
299	18961.71176
300	18946.14736
301	18924.13075
302	18878.09681
303	18861.66317
304	18836.1558
305	18824.77032
306	18806.5488
307	18780.87784
308	18762.02508
309	18735.11549
310	18710.15659
311	18679.0589
312	18663.53224
313	18636.78215
314	18620.69128
315	18604.5222
316	18585.04536
317	18558.17627
318	18545.22172
319	18522.83233
320	18495.40246
321	18470.09045
322	18454.22527
323	18436.85105
324	18433.21043
325	18399.59836
326	18374.59843
327	18362.55429
328	18353.47874
329	18343.92805
330	18324.35918
331	18311.62944
332	18285.93657
333	18262.58537
334	18253.80593
335	18212.1938
336	18196.64162
337	18182.99884
338	18172.17663
339	18157.83266
340	18144.43093
341	18128.09654
342	18114.81737
343	18103.3623
344	18085.10718
345	18072.55134
346	18052.11092
347	18016.03448
348	18005.68297
349	17992.35407
350	17979.77619
351	17964.20187
352	17943.92371
353	17929.20665
354	17887.25921
355	17865.71295
356	17844.13799
357	17825.32988
358	17788.86189
359	17768.51322
360	17757.44946
361	17744.96036
362	17717.44861
363	17711.0753
364	17700.97632
365	17686.03759
366	17666.48907
367	17654.74159
368	17643.17426
369	17633.02668
370	17598.97925
371	17566.84447
372	17544.20725
373	17515.86453
374	17480.75471
375	17465.28731
376	17454.56248
377	17449.58376
378	17415.44664
379	17397.78931
380	17391.25033
381	17368.65536
382	17345.38855
383	17343.37667
384	17310.64874
385	17302.75119
386	17290.48023
387	17277.35989
388	17265.20206
389	17234.8681
390	17225.27691
391	17194.91135
392	17190.4187
393	17176.36195
394	17162.58618
395	17153.97909
396	17147.03097
397	17118.51592
398	17113.96123
399	17098.44761
400	17080.8454
401	17053.20559
402	17027.2336
403	17012.20503
404	16996.8798
405	16986.66557
406	16974.30757
407	16958.94949
408	16949.17817
409	16941.46977
410	16934.1108
411	16897.48554
412	16893.97598
413	16888.84199
414	16882.23955
415	16831.63186
416	16814.25905
417	16803.41445
418	16791.88963
419	16779.88281
420	16750.45008
421	16729.57395
422	16723.75148
423	16718.46334
424	16701.43741
425	16685.22834
426	16664.9204
427	16662.15231
428	16640.41944
429	16628.9709
430	16603.17166
431	16583.10059
432	16561.14389
433	16548.15549
434	16538.26211
435	16526.46599
436	16510.85268
437	16497.93856
438	16471.32712
439	16461.96579
440	16454.49212
441	16435.03573
442	16406.09328
443	16392.99313
444	16368.42316
445	16354.28692
446	16342.85027
447	16327.80204
448	16304.48094
449	16292.44777
450	16283.46793
451	16274.5712
452	16267.47281
453	16260.66364
454	16243.65801
455	16232.5753
456	16206.52543
457	16185.95945
458	16181.16563
459	16161.13663
460	16156.15503
461	16145.96976
462	16141.73565
463	16107.63383
464	16098.40966
465	16087.69782
466	16077.93788
467	16046.63211
468	16032.46242
469	16010.54276
470	15993.79018
471	15983.11336
472	15967.14683
473	15951.26096
474	15928.16689
475	15913.56037
476	15898.04625
477	15871.641
478	15860.02767
479	15842.47703
480	15825.09195
481	15812.4964
482	15791.99965
483	15787.57093
484	15779.59369
485	15763.83626
486	15749.24308
487	15744.95619
488	15735.4722
489	15719.94097
490	15702.46203
491	15693.69414
492	15688.1891
493	15679.02946
494	15670.2136
495	15657.18331
496	15647.59386
497	15639.09836
498	15634.76228
499	15623.91191
500	15617.38022
501	15591.24286
502	15582.34996
503	15558.80406
504	15540.78633
505	15528.24798
506	15514.72524
507	15498.77535
508	15487.83272
509	15480.45466
510	15464.08734
511	15452.49005
512	15439.00241
513	15432.02215
514	15426.5906
515	15410.99466
516	15396.96897
517	15385.23734
518	15370.93163
519	15364.56433
520	15347.50148
521	15341.09873
522	15325.76371
523	15319.78285
524	15306.40283
525	15295.58031
526	15272.25889
527	15255.2372
528	15241.47481
529	15228.1966
530	15224.77189
531	15207.96378
532	15197.14796
533	15191.8574
534	15184.32298
535	15167.17063
536	15158.18109
537	15154.46012
538	15140.26715
539	15131.55426
540	15116.87698
541	15104.45626
542	15092.26475
543	15090.15371
544	15078.89978
545	15074.11876
546	15063.13734
547	15049.93197
548	15034.58999
549	15022.21325
550	15003.36457
551	14991.44869
552	14976.97094
553	14969.34733
554	14952.05271
555	14942.45405
556	14924.28889
557	14910.40926
558	14902.43329
559	14874.63407
560	14869.85136
561	14858.92985
562	14846.16927
563	14839.83895
564	14827.85521
565	14803.1429
566	14790.06684
567	14775.22483
568	14770.93394
569	14759.08247
570	14743.34406
571	14732.32979
572	14726.91434
573	14715.55522
574	14711.85443
575	14702.54739
576	14690.32628
577	14684.66935
578	14679.55064
579	14665.00572
580	14657.77014
581	14654.35579
582	14639.82802
583	14628.912
584	14621.99829
585	14602.67226
586	14594.46436
587	14588.70494
588	14578.68791
589	14566.31999
590	14555.37336
