iter	Passed	Remaining
0	26	37174
1	52	36930
2	83	39270
3	107	37926
4	136	38598
5	167	39568
6	198	40129
7	227	40194
8	258	40564
9	289	40825
10	318	40859
11	349	40963
12	377	40906
13	408	40978
14	438	41053
15	473	41524
16	502	41467
17	532	41449
18	562	41467
19	592	41474
20	620	41357
21	652	41491
22	683	41542
23	714	41578
24	745	41594
25	776	41611
26	807	41642
27	838	41675
28	868	41676
29	899	41672
30	938	42036
31	969	42032
32	997	41944
33	1028	41942
34	1059	41908
35	1088	41843
36	1119	41856
37	1149	41821
38	1179	41751
39	1210	41745
40	1240	41723
41	1270	41670
42	1299	41623
43	1330	41598
44	1359	41538
45	1392	41587
46	1421	41529
47	1452	41506
48	1482	41472
49	1510	41400
50	1541	41382
51	1571	41332
52	1603	41348
53	1633	41324
54	1663	41295
55	1694	41271
56	1723	41211
57	1752	41142
58	1782	41120
59	1812	41083
60	1843	41081
61	1873	41032
62	1903	40995
63	1944	41193
64	1975	41174
65	2005	41133
66	2036	41131
67	2066	41087
68	2097	41064
69	2133	41154
70	2164	41124
71	2194	41083
72	2226	41084
73	2257	41056
74	2286	41013
75	2316	40969
76	2346	40919
77	2377	40903
78	2407	40872
79	2437	40836
80	2466	40779
81	2497	40756
82	2528	40726
83	2557	40671
84	2589	40668
85	2619	40635
86	2648	40582
87	2680	40569
88	2711	40545
89	2740	40504
90	2772	40491
91	2802	40456
92	2832	40421
93	2863	40388
94	2892	40343
95	2922	40301
96	2954	40294
97	2984	40258
98	3015	40232
99	3045	40195
100	3074	40157
101	3104	40110
102	3135	40086
103	3166	40064
104	3194	40012
105	3227	40008
106	3257	39971
107	3287	39940
108	3319	39919
109	3350	39899
110	3379	39856
111	3409	39817
112	3440	39791
113	3470	39753
114	3502	39741
115	3531	39699
116	3559	39639
117	3588	39595
118	3617	39553
119	3647	39518
120	3678	39489
121	3708	39457
122	3739	39427
123	3769	39392
124	3797	39339
125	3827	39312
126	3858	39283
127	3888	39247
128	3917	39207
129	3947	39174
130	3976	39129
131	4005	39079
132	4036	39059
133	4066	39030
134	4097	39003
135	4128	38980
136	4157	38936
137	4186	38892
138	4219	38883
139	4249	38856
140	4278	38807
141	4310	38796
142	4340	38760
143	4376	38782
144	4407	38755
145	4440	38746
146	4471	38725
147	4501	38692
148	4531	38657
149	4561	38619
150	4593	38604
151	4624	38576
152	4653	38535
153	4682	38494
154	4714	38479
155	4744	38444
156	4775	38417
157	4804	38376
158	4833	38336
159	4864	38307
160	4894	38278
161	4926	38259
162	4957	38229
163	4986	38188
164	5030	38262
165	5059	38222
166	5086	38167
167	5115	38123
168	5148	38114
169	5178	38077
170	5209	38049
171	5239	38015
172	5268	37976
173	5298	37943
174	5328	37907
175	5357	37866
176	5387	37835
177	5419	37815
178	5450	37786
179	5481	37759
180	5511	37728
181	5541	37697
182	5573	37673
183	5603	37639
184	5634	37615
185	5665	37586
186	5694	37546
187	5723	37504
188	5753	37476
189	5786	37457
190	5817	37431
191	5847	37400
192	5878	37372
193	5913	37368
194	5955	37412
195	5987	37392
196	6021	37382
197	6053	37358
198	6084	37332
199	6115	37307
200	6147	37279
201	6179	37258
202	6212	37244
203	6240	37200
204	6276	37199
205	6304	37156
206	6335	37126
207	6367	37101
208	6400	37085
209	6432	37061
210	6461	37025
211	6490	36986
212	6522	36958
213	6553	36934
214	6584	36901
215	6615	36874
216	6649	36865
217	6679	36831
218	6711	36807
219	6743	36781
220	6773	36748
221	6815	36780
222	6846	36750
223	6877	36720
224	6915	36731
225	6948	36708
226	6977	36672
227	7008	36642
228	7039	36613
229	7069	36578
230	7099	36540
231	7130	36513
232	7159	36473
233	7190	36446
234	7220	36409
235	7252	36383
236	7280	36341
237	7311	36313
238	7340	36270
239	7368	36228
240	7399	36197
241	7431	36176
242	7462	36146
243	7494	36122
244	7525	36090
245	7554	36053
246	7588	36035
247	7618	36002
248	7647	35964
249	7678	35936
250	7709	35905
251	7739	35870
252	7772	35849
253	7801	35814
254	7833	35786
255	7865	35763
256	7894	35725
257	7925	35694
258	7955	35659
259	7984	35623
260	8012	35580
261	8042	35544
262	8072	35513
263	8101	35475
264	8132	35445
265	8163	35416
266	8193	35380
267	8225	35356
268	8256	35326
269	8287	35297
270	8317	35266
271	8346	35228
272	8377	35197
273	8408	35168
274	8439	35138
275	8468	35101
276	8500	35075
277	8529	35040
278	8558	35002
279	8589	34971
280	8620	34941
281	8649	34904
282	8681	34877
283	8712	34848
284	8742	34815
285	8775	34793
286	8807	34770
287	8839	34743
288	8870	34716
289	8900	34681
290	8929	34645
291	8961	34618
292	8990	34581
293	9020	34548
294	9052	34522
295	9084	34495
296	9113	34461
297	9143	34428
298	9176	34402
299	9206	34369
300	9238	34343
301	9269	34315
302	9299	34283
303	9329	34249
304	9359	34217
305	9389	34182
306	9419	34148
307	9448	34113
308	9478	34080
309	9510	34053
310	9539	34017
311	9568	33979
312	9600	33955
313	9630	33919
314	9660	33888
315	9692	33862
316	9721	33826
317	9752	33795
318	9783	33765
319	9813	33734
320	9844	33704
321	9875	33674
322	9903	33636
323	9932	33599
324	9965	33577
325	9995	33543
326	10026	33513
327	10058	33487
328	10090	33460
329	10119	33424
330	10150	33395
331	10179	33358
332	10208	33322
333	10238	33291
334	10271	33265
335	10300	33232
336	10330	33198
337	10360	33166
338	10392	33140
339	10422	33105
340	10450	33067
341	10480	33036
342	10511	33006
343	10543	32979
344	10572	32943
345	10603	32912
346	10632	32876
347	10662	32844
348	10691	32809
349	10721	32778
350	10752	32746
351	10782	32715
352	10812	32682
353	10842	32650
354	10873	32620
355	10905	32593
356	10934	32557
357	10963	32524
358	10993	32492
359	11023	32457
360	11055	32431
361	11085	32397
362	11113	32361
363	11143	32328
364	11177	32307
365	11207	32275
366	11238	32244
367	11266	32208
368	11297	32177
369	11329	32150
370	11358	32114
371	11389	32085
372	11419	32055
373	11448	32018
374	11478	31985
375	11508	31954
376	11538	31921
377	11569	31893
378	11600	31862
379	11630	31830
380	11661	31800
381	11692	31771
382	11723	31743
383	11755	31714
384	11785	31684
385	11814	31649
386	11844	31614
387	11874	31584
388	11903	31548
389	11934	31518
390	11965	31490
391	11995	31457
392	12025	31426
393	12057	31398
394	12086	31364
395	12116	31331
396	12145	31296
397	12177	31269
398	12207	31238
399	12239	31210
400	12270	31180
401	12301	31150
402	12332	31122
403	12363	31092
404	12394	31061
405	12424	31031
406	12453	30997
407	12484	30965
408	12516	30938
409	12547	30910
410	12579	30881
411	12610	30852
412	12639	30818
413	12669	30785
414	12699	30754
415	12729	30722
416	12760	30691
417	12791	30662
418	12820	30627
419	12849	30593
420	12881	30566
421	12909	30530
422	12941	30501
423	12971	30470
424	12999	30434
425	13028	30400
426	13058	30367
427	13087	30334
428	13118	30304
429	13149	30275
430	13180	30245
431	13210	30212
432	13241	30182
433	13271	30151
434	13302	30122
435	13334	30094
436	13366	30066
437	13395	30032
438	13426	30003
439	13457	29973
440	13486	29940
441	13521	29919
442	13550	29884
443	13580	29852
444	13610	29820
445	13637	29783
446	13667	29751
447	13699	29722
448	13729	29691
449	13759	29660
450	13791	29631
451	13822	29601
452	13851	29567
453	13879	29533
454	13910	29502
455	13940	29471
456	13973	29445
457	14002	29411
458	14030	29376
459	14061	29344
460	14090	29312
461	14119	29277
462	14150	29248
463	14179	29214
464	14211	29186
465	14242	29156
466	14271	29122
467	14302	29094
468	14333	29063
469	14362	29030
470	14394	29002
471	14429	28981
472	14459	28948
473	14489	28918
474	14520	28888
475	14551	28857
476	14581	28826
477	14610	28792
478	14638	28756
479	14667	28723
480	14699	28696
481	14731	28667
482	14762	28638
483	14792	28607
484	14822	28575
485	14852	28544
486	14884	28515
487	14915	28486
488	14945	28454
489	14976	28424
490	15007	28394
491	15037	28363
492	15069	28334
493	15099	28303
494	15128	28271
495	15163	28247
496	15192	28214
497	15222	28183
498	15253	28153
499	15284	28123
500	15315	28094
501	15345	28061
502	15374	28028
503	15405	27998
504	15435	27967
505	15468	27941
506	15498	27909
507	15528	27878
508	15558	27847
509	15588	27814
510	15620	27787
511	15650	27755
512	15683	27729
513	15712	27696
